company,work_format,requirements,salary_num
Bell Integrator,Офис / Гибрид,"Python, LLM, LangChain",
Базис,Офис / Гибрид,"Linux, KVM, Java, Docker, Kubernetes, SAST/DAST, TCP, Bash, CI/CD, Высоконагруженные системы",
Cloud.ru,Офис / Гибрид,"Kubernetes, Docker",
МТС Банк,Офис / Гибрид,"Agile, Waterfall",
МТС Банк,Офис / Гибрид,"Jira, Confluence, LLM",
Raft Digital Solutions,Офис / Гибрид,"LLM, Agentic systems ",
YADRO,Офис / Гибрид,"Linux, OSPF, BGP",
True Engineering,Офис / Гибрид,"Hyper-V, Powershell, SQL, Git, DNS, Active directory, Docker",
Т-Банк,Офис / Гибрид,"Golang, Apache Kafka, Kubernetes, Docker, CI/CD",
Okko,Офис / Гибрид,"Kotlin, PostgreSQL, Java, Golang",
Top Selection,Офис / Гибрид,"RESTful API, JSON, LLM",255000
deeplay,Офис / Гибрид,"Frida, Python, C#",
deeplay,Офис / Гибрид,"Frida, Python, C#",
QSOFT,Офис / Гибрид,"Управление людьми, Продажи, B2B",250000
SimbirSoft,Офис / Гибрид,"Python, LLM",
Базис,Офис / Гибрид,"AWS, Linux, VMware, PostgreSQL, Kubernetes, Ansible, Terraform, Объектное хранилище S3, Docker, n8n",
GRI,Офис / Гибрид,Автоматизация процессов,
Это рекрутинг,Офис / Гибрид,Управление людьми,500000
Top Selection,Офис / Гибрид,DWH,
Marfatech,Офис / Гибрид,"SQL, Tableau, Английский язык",
Marfatech,Офис / Гибрид,"SQL, Tableau, Apache Airflow, Python",
Coral Club,Офис / Гибрид,"Яндекс.Метрика, ClickHouse, Google Analytics, Apache Superset, SQL",
GRI,Офис / Гибрид,"SQL, Python",
ИТ-Холдинг Т1,Офис / Гибрид,"SQL, Apache Kafka, XML, JSON, PostgreSQL",
IBS,Офис / Гибрид,"Rust, Asyncio",
