source,title,company,city,work_format,requirements,salary,link
Habr Career,"iOS Developer (Москва, гибрид)",Bell Integrator,Не указан,Офис / Гибрид,"Swift, UIKit, Objective-С",,https://career.habr.com/vacancies/1000168178
Habr Career,Principal backend engineer / Python,YoloPrice,Не указан,Офис / Гибрид,"Python, REST, CI/CD, Базы данных, Разработка программного обеспечения, Google Cloud Platform, Redis",до 420 000 ₽,https://career.habr.com/vacancies/1000168525
Habr Career,AI исследователь,Top Selection,Не указан,Офис / Гибрид,"Python, NLP, LLM, LangChain, SQL",от 260 000 до 300 000 ₽,https://career.habr.com/vacancies/1000168339
Habr Career,Инженер данных ,CINIMEX,Не указан,Офис / Гибрид,"SQL, Python, Алгоритмы и структуры данных, PostgreSQL, Базы данных, Apache Kafka",,https://career.habr.com/vacancies/1000168595
Habr Career,CTO / Технический директор,НЛ Континент,Не указан,Офис / Гибрид,"Управление разработкой, Agile",,https://career.habr.com/vacancies/1000168580
Habr Career,Архитектор 1С,Top Selection,Не указан,Офис / Гибрид,"1C: ERP, Разработка под 1С",от 260 000 до 300 000 ₽,https://career.habr.com/vacancies/1000167826
Habr Career,Senior QA AI-Продуктов (Python),СберЗдоровье,Не указан,Офис / Гибрид,"Java, Python",,https://career.habr.com/vacancies/1000168653
Habr Career,Java разработчик (СОПББ),ИТ-Холдинг Т1,Не указан,Офис / Гибрид,Java,,https://career.habr.com/vacancies/1000161257
Habr Career,Аналитик DWH,Джетлин,Не указан,Офис / Гибрид,"SQL, BI, ClickHouse, Tableau, DWH, Greenplum",,https://career.habr.com/vacancies/1000167559
Habr Career,Scrum-мастер,"АстраЗенека, Россия и Евразия",Не указан,Офис / Гибрид,"Agile, Scrum, Управление проектами",,https://career.habr.com/vacancies/1000167743
Habr Career,Дата аналитик,Bell Integrator,Не указан,Офис / Гибрид,"SQL, Python, PostgreSQL",,https://career.habr.com/vacancies/1000166676
Habr Career,Java разработчик со знанием платформы ЦФТ/ Проектная работа / АУТСТАФФ,Extyl,Не указан,Офис / Гибрид,Java,,https://career.habr.com/vacancies/1000167904
Habr Career,Аналитик данных,Bell Integrator,Не указан,Офис / Гибрид,"SQL, Apache Hadoop, DWH, Microsoft Excel, Анализ данных",,https://career.habr.com/vacancies/1000166668
Habr Career,SEO / GEO Specialist — SORTAGE,Sortage,Не указан,Офис / Гибрид,"SEO-оптимизация, Разработка SEO-стратегии, Google Search Console, Яндекс.Метрика, Screaming Frog, Ahrefs, Semrush, Notion",,https://career.habr.com/vacancies/1000168615
Habr Career,Разработчик DWH и BI ЕХД Oracle,МТС Банк,Не указан,Офис / Гибрид,"DWH, Oracle PL/SQL, SQL, Oracle",,https://career.habr.com/vacancies/1000167328
Habr Career,Java Developer,ITK academy,Не указан,Офис / Гибрид,"Java, Kotlin, Git, Docker, Java Spring Framework, Apache Kafka, RabbitMQ",от 75 000 ₽,https://career.habr.com/vacancies/1000168359
